DATA_REG;AMPARO_LEGAL;CLASSIFICACAO;MEIO_TRANSPORTE;DATA_ENTRADA;UF_ENTRADA;UFRES;MUNRES_DESC;PNASC_DESC;PNACI_DESC;DTNASC;SEXO_DESCRICAO;ESTCIV_DESC;PROF_DESC
02/01/2002;4;PERMANENTE;2;19980107;SP;SP;SAO PAULO;ESTADOS UNIDOS DA AMERICA;ESTADOS UNIDOS DA AMERICA;27/03/1964;Masculino;Casado;PROFESSOR
02/01/2002;4;PERMANENTE;2;19980329;SP;SP;SAO PAULO;POLONIA;POLONIA;20/02/1952;Feminino;Solteiro;SACERDOTE
02/01/2002;4;PERMANENTE;2;20011217;SP;SP;SAO PAULO;MEXICO;MEXICO;30/12/1967;Feminino;Solteiro;SACERDOTE
02/01/2002;11;PERMANENTE;2;19990511;RS;RJ;MACAE;CUBA;ESTADOS UNIDOS DA AMERICA;18/11/1962;Masculino;Casado;OUTRA OCUPACAO NAO CLASSIFICADA
02/01/2002;11;PERMANENTE;2;20000130;RJ;RJ;MACAE;UNIAO SOVIETICA;RUSSIA;01/06/1973;Feminino;Casado;PROFESSOR
02/01/2002;11;PERMANENTE;2;20000704;RJ;RJ;RIO DE JANEIRO;LIBANO;GRECIA;09/08/1955;Masculino;Casado;JURISTA
02/01/2002;11;PERMANENTE;2;20000809;RJ;BA;SALVADOR;ITALIA;ITALIA;22/01/1961;Masculino;Casado;DIRETOR , GERENTE OU PROPRIETARIO
02/01/2002;11;PERMANENTE;2;20011012;RJ;RJ;RIO DE JANEIRO;LIBANO;LIBANO;09/11/1972;Feminino;Casado;JURISTA
02/01/2002;11;PERMANENTE;2;20110429;SP;ES;VILA VELHA;CANADA;CANADA;23/12/1971;Feminino;Outro;QUIMICO
02/01/2002;11;PERMANENTE;4;19980204;RO;RO;NOVA MAMORE;BOLIVIA;BOLIVIA;19/11/1975;Feminino;Outro;PRENDAS DOMESTICAS ( LIDES DO LAR )
02/01/2002;11;PERMANENTE;4;19980923;RS;RS;CHUI;URUGUAI;URUGUAI;14/11/1961;Masculino;Viuvo;ENFERMEIRO
02/01/2002;11;PERMANENTE;4;19981117;RO;RO;PORTO VELHO;BOLIVIA;BOLIVIA;03/03/1958;Masculino;Casado;PEDREIRO
02/01/2002;14;PERMANENTE;1;19560220;RJ;RJ;RIO DE JANEIRO;PORTUGAL;PORTUGAL;08/11/1949;Masculino;Casado;VENDEDOR OU EMPREGADO DE CASA COMERCI
02/01/2002;14;PERMANENTE;4;19671020;MS;MS;PONTA PORA;PARAGUAI;PARAGUAI;24/05/1948;Feminino;Casado;PRENDAS DOMESTICAS ( LIDES DO LAR )
02/01/2002;28;TEMPORÁRIO;2;20010718;SP;RS;BAGE;FINLANDIA;FINLANDIA;02/08/1983;Feminino;Solteiro;ESTUDANTE
02/01/2002;28;TEMPORÁRIO;2;20010804;SP;SP;ASSIS;ESTADOS UNIDOS DA AMERICA;ESTADOS UNIDOS DA AMERICA;17/10/1983;Feminino;Solteiro;ESTUDANTE
02/01/2002;28;TEMPORÁRIO;2;20010829;SP;SP;SAO PAULO;NAMIBIA;ALEMANHA;13/03/1979;Feminino;Solteiro;ESTUDANTE
02/01/2002;29;TEMPORÁRIO;2;20011006;SP;PR;GUAIRA;MEXICO;MEXICO;12/03/1984;Feminino;Solteiro;ESTUDANTE
02/01/2002;30;TEMPORÁRIO;2;20010903;SP;RS;RIO GRANDE;INDIA;INDIA;17/01/1960;Masculino;Casado;PROFESSOR
02/01/2002;30;TEMPORÁRIO;2;20011023;SP;RJ;RIO DE JANEIRO;ESTADOS UNIDOS DA AMERICA;ESTADOS UNIDOS DA AMERICA;28/08/1974;Feminino;Solteiro;GARIMPEIROS
02/01/2002;31;TEMPORÁRIO;2;20011213;RJ;RJ;RIO DE JANEIRO;REPUBLICA POPULAR DA CHINA;REPUBLICA POPULAR DA CHINA;01/09/1972;Masculino;Casado;ESCRITOR
02/01/2002;32;TEMPORÁRIO;2;20011219;SP;SP;SAO PAULO;CANADA;CANADA;10/02/1935;Feminino;Solteiro;SACERDOTE
02/01/2002;43;PERMANENTE;2;19991121;SP;SP;SAO PAULO;PANAMA;PANAMA;11/07/1988;Masculino;Solteiro;ESTUDANTE
02/01/2002;43;PERMANENTE;2;19991124;SP;CE;FORTALEZA;NORUEGA;NORUEGA;16/06/1980;Masculino;Solteiro;ESTUDANTE
02/01/2002;53;PERMANENTE;2;20010826;SP;MS;CORUMBA;PORTUGAL;PORTUGAL;24/11/1998;Feminino;Solteiro;MENOR ( CRIANCA , NAO ESTUDANTE )
