DATA_REG;AMPARO_LEGAL;CLASSIFICACAO;MEIO_TRANSPORTE;DATA_ENTRADA;UF_ENTRADA;UFRES;MUNRES_DESC;PNASC_DESC;PNACI_DESC;DTNASC;SEXO_DESCRICAO;ESTCIV_DESC;PROF_DESC
03/01/2000;2;PERMANENTE;2;19991230;SP;SP;SAO PAULO;COREIA DO SUL;COREIA DO SUL;10/01/1963;Masculino;Casado;DIRETOR , GERENTE OU PROPRIETARIO
03/01/2000;3;PERMANENTE;2;19990910;SP;SP;BARUERI;CHILE;CHILE;20/04/1964;Masculino;Casado;DIRETOR , GERENTE OU PROPRIETARIO
03/01/2000;11;PERMANENTE;2;19970622;RJ;SE;ARACAJU;NICARAGUA;NICARAGUA;22/03/1968;Feminino;Solteiro;OUTRA OCUPACAO NAO CLASSIFICADA
03/01/2000;29;TEMPORÁRIO;2;19991227;RJ;PE;RECIFE;ESTADOS UNIDOS DA AMERICA;ESTADOS UNIDOS DA AMERICA;04/09/1974;Feminino;Solteiro;ESTUDANTE
03/01/2000;29;TEMPORÁRIO;2;19991229;SP;SP;SAO PAULO;MEXICO;MEXICO;04/10/1967;Masculino;Solteiro;SACERDOTE
03/01/2000;30;TEMPORÁRIO;1;19991216;PB;PB;CABEDELO;ESPANHA;ESPANHA;21/09/1955;Masculino;Casado;PESCADOR
03/01/2000;30;TEMPORÁRIO;2;19991221;SP;CE;FORTALEZA;ITALIA;ITALIA;13/12/1953;Masculino;Solteiro;ECONOMISTA
03/01/2000;30;TEMPORÁRIO;2;19991221;SP;CE;FORTALEZA;ITALIA;ITALIA;15/12/1964;Masculino;Solteiro;QUIMICO
03/01/2000;30;TEMPORÁRIO;2;19991221;SP;CE;FORTALEZA;ITALIA;ITALIA;27/11/1972;Feminino;Solteiro;QUIMICO
03/01/2000;43;PERMANENTE;3;19470319;MS;DF;BRASILIA;PARAGUAI;PARAGUAI;05/09/1930;Feminino;Outro;PRENDAS DOMESTICAS ( LIDES DO LAR )
03/01/2000;48;TEMPORÁRIO;2;19991119;RJ;CE;MARANGUAPE;ALEMANHA;ALEMANHA;13/01/1972;Masculino;Solteiro;ESTUDANTE
03/01/2000;53;PERMANENTE;2;19991119;PE;PB;JOAO PESSOA;DINAMARCA;DINAMARCA;21/11/1954;Masculino;Casado;ENGENHEIRO
03/01/2000;53;PERMANENTE;2;19991203;AM;AM;MANAUS;PERU;PERU;19/04/1972;Masculino;Casado;DIRETOR , GERENTE OU PROPRIETARIO
03/01/2000;53;PERMANENTE;2;19991210;PE;PE;RECIFE;INGLATERRA;GRA-BRETANHA;18/04/1965;Masculino;Casado;DIRETOR , GERENTE OU PROPRIETARIO
03/01/2000;53;PERMANENTE;4;19991222;RS;SC;RIO DO SUL;ARGENTINA;ARGENTINA;13/12/1962;Masculino;Casado;ENGENHEIRO
03/01/2000;60;PERMANENTE;2;19971212;SP;DF;BRASILIA;JAPAO;JAPAO;09/05/1942;Feminino;Outro;PRENDAS DOMESTICAS ( LIDES DO LAR )
03/01/2000;66;TEMPORÁRIO;2;19991221;SP;SP;SAO PAULO;INGLATERRA;GRA-BRETANHA;02/06/1951;Feminino;Casado;PRENDAS DOMESTICAS ( LIDES DO LAR )
03/01/2000;75;TEMPORÁRIO;2;19991202;AM;AM;MANAUS;ESTADOS UNIDOS DA AMERICA;ESTADOS UNIDOS DA AMERICA;16/01/1961;Masculino;Solteiro;AERONAUTA
